reward,informal,sexual,focusfuture,family,differ,affiliation,time,ipron,function,bio,social,conj,they,death,focuspresent,assent,negemo,achiev,we,article,netspeak,i,affect,cause,friend,power,number,health,nonflu,discrep,auxverb,see,ppron,home,insight,prep,feel,tentat,posemo,motion,relig,ingest,percept,adverb,cogproc,certain,drives,filler,leisure,money,focuspast,swear,sad,negate,work,pronoun,adj,body,relativ,quant,compare,risk,interrog,hear,male,female,you,verb,shehe,anger,space,anx
0.028643157,0.01873987,0.011619405,0.050861306,0.015408871,0.021729326,0.02216901,0.05000714,0.022509191,0.021742653,0.03254928,0.022890076,0.027867721,0.010458211,0.03201419,0.024651805,0.005146115,0.02367754,0.03855291,0.017035183,0.06379684,0.028227383,0.019377362,0.02375845,0.04595498,0.02249787,0.040206503,0.039256025,0.044331178,0.028016612,0.048190977,0.0220213,0.028929992,0.013507531,0.03179571,0.024806619,0.032070417,0.020439155,0.03780904,0.023657858,0.037611846,0.041117832,0.04035676,0.015801027,0.012047507,0.03280826,0.031854313,0.035035655,0.033545732,0.031371873,0.020589419,0.009556364,0.008154181,0.025071533,0.006407951,0.045439642,0.016390203,0.022382831,0.026756847,0.039231367,0.025777869,0.010213509,0.03698965,0.00082938606,-0.012133249,0.028517092,0.02035018,0.01302402,0.025352737,0.0070689395,0.020055845,0.032719754,0.030473826
-0.002366849,0.003884382,-0.034964696,-0.016629582,-0.03653744,0.0018680657,-0.028584838,-0.0051339916,0.010058135,0.0043157083,-0.0065172547,-0.019115236,0.008301517,-0.008041548,0.041171048,-0.0020942162,0.011541187,0.00833425,0.0011711676,-0.027608644,-0.0098,0.0061741895,0.014589536,0.0061845514,0.0062651294,-0.016947163,-0.0034588145,-0.027366051,0.0021432969,0.002162902,-0.0053943153,0.003314376,0.003155704,-0.0055326624,-0.013862947,0.0069379853,0.0073484094,-0.0038286466,-0.015008455,0.0043260483,-0.00012919259,-0.006139237,0.0026167221,1.348044e-05,0.011061023,-0.00040580152,1.2006327e-05,-0.00869224,0.025664184,-0.0037694648,0.0073660873,0.0008652536,-0.010120343,0.016297795,-0.004455717,-0.0048743696,-0.00024393009,-0.0025803002,-0.012666636,-0.0042714197,-0.016552778,-0.0022945784,-0.011716024,0.015162246,-0.0028901072,-0.035831884,-0.029944796,-0.0055194083,-0.0042516696,-0.016448352,0.011617244,-0.006977676,-0.012564189
-8.576676e-05,-0.00040992466,0.0068869093,-0.008185386,0.02029452,-0.0011291015,0.012416561,0.009247594,0.007950814,0.004242703,0.007994981,0.009822794,-0.0020100689,0.01465313,-0.0014357836,0.007741199,0.00083529856,-0.0031879847,0.0014543139,0.0057249367,0.008130196,0.001197215,-0.00030337268,-0.0023463264,0.0055241883,0.0011950772,0.0019640322,0.0030559134,0.0009904708,0.015938532,-0.0034652965,-0.009073682,-0.00016307378,0.0032768773,-0.0005206557,0.0019209143,0.005559316,0.020529136,0.011069488,-0.0013644773,0.014517869,-0.0036501347,0.008961615,0.0059668296,0.011809326,0.004149533,0.002514203,0.00452792,-0.008806976,0.0123051535,0.020298708,0.018443266,-0.0027564368,0.0008010118,-0.004519643,0.009798633,0.004998242,-8.6203705e-05,0.012471842,0.012021943,0.0017286702,-0.00086269714,0.0077159167,0.013768682,0.009291144,0.015158131,0.010765541,-0.00021164383,0.01269058,0.0053115957,-0.001973513,0.012506741,-0.013054035
0.036066186,0.019421743,-0.0069883117,0.020925432,-0.029158115,-0.0012095317,0.012317185,0.017426277,0.0064472137,0.004716016,0.0016677096,0.0030303048,0.0038712837,0.0021849126,-0.013670755,0.029834643,0.024900973,-0.007939356,0.029900437,0.025827587,0.012973294,0.033019613,0.008087293,0.0033495037,0.0303881,-0.003286121,0.0023155538,0.015168456,0.0025884144,-0.02128519,0.014788685,0.00900802,0.030087514,0.005161979,0.0018435323,0.015373121,0.009896655,-0.007356463,0.005159334,0.014619139,0.029704422,-0.049953207,0.018436091,0.008911482,-0.0018859695,0.016037177,0.026083823,0.011305732,0.04643044,0.015962018,0.04016077,0.007166996,0.0057180836,-0.005393655,-0.00017676309,0.022339042,0.005417812,0.009701432,-0.014269063,0.021192987,0.013549859,0.0066477386,0.004762762,-0.0047698747,-0.0022894302,-0.014268944,-0.025552347,0.012183447,0.018104622,-0.019242054,-0.007760643,0.017829066,-0.016545312
0.02249598,0.0053266133,0.007231353,0.018432133,-0.022512462,-0.007572954,0.0015694068,0.0018675127,0.022135356,0.01125188,0.016772369,0.008456182,-0.0021100405,-0.00668094,0.009676607,0.011241915,0.01754255,0.008058267,0.020944338,0.002487469,0.019450493,0.0020733313,0.014197889,0.011667054,0.009018603,0.0076397466,0.015716085,0.009079902,0.02217704,0.011845419,0.00056193635,0.00038146303,0.02109424,0.011421198,0.015631277,0.017435819,0.0111804325,0.019231198,0.024006367,0.015383001,0.020236826,0.014236803,0.007319525,0.020227307,0.018301528,0.013122711,0.016262336,0.012727765,-0.008020466,0.017248604,0.010207632,0.028320992,0.0067978073,0.0034608392,-0.011101306,0.01643602,0.015207986,0.011734241,0.023568183,0.015083849,0.021662481,0.011177478,0.0063684415,0.011913977,0.027270406,0.006233679,-0.0023174777,0.02337171,0.017543638,0.0040417635,0.01037934,0.019484287,0.00183074
-0.0137203755,-0.0025052403,-0.0058906297,-0.026423424,0.0014398948,0.0101465285,-0.014461957,-0.01735315,-0.00292005,-0.0034945402,-0.014891344,-0.005354058,0.008430589,-0.003224794,-0.010048126,-0.020852001,-0.011067703,-0.0044625523,-0.01712237,-0.0068824864,-0.01846366,-0.00061771093,0.0043551233,-0.014553102,-0.0069826576,-0.0057087434,-0.011890678,0.0068357736,-0.016107604,-0.008885308,-0.0099412,-0.0026636368,-0.04838822,-0.0043941606,0.006818536,-0.014505748,-0.0029622384,-0.023163196,-0.009117938,-0.023889888,-0.030732458,-0.021378225,-0.022129716,-0.032182448,-0.006042793,-0.006905694,0.0044197435,-0.011848655,-0.020783244,-0.022686508,-0.011814155,0.0003901829,-0.004927785,-0.023414556,0.004554992,-0.0153185,-0.0039823246,-0.018755026,-0.012419548,-0.023616383,-0.0068736207,-0.014693034,-0.0005080857,-0.014934974,-0.02558544,0.01029225,-0.001617541,-0.003959555,-0.015779806,-0.015004854,-0.001657076,-0.02158243,0.000115050825
0.004882434,-0.001037592,-0.001614007,0.013744805,-0.01324802,0.023942413,0.004160503,0.01428851,0.011282951,0.011061171,-0.00048953213,0.0039887917,0.012760773,0.0010464202,0.008668934,0.0146848215,-0.0072893184,0.0075197606,0.0052147936,-0.011334336,0.0015784067,-0.004086475,0.002173837,0.006407922,0.009521322,0.0030188605,0.006966083,0.009842856,-0.0015572932,0.004338179,0.012428113,0.012765816,0.009557144,0.004599594,0.009954321,0.02544302,0.010926462,-0.008145606,0.008148167,0.0059352443,0.01175213,0.019474635,0.010331314,0.0022336752,0.015826039,0.016288856,0.017356053,0.007153033,0.014356842,0.0043852334,0.0111978585,0.018718744,0.009854562,-0.00320391,0.0078032794,0.009004329,0.006786488,0.0017401098,-0.006359497,0.007198923,0.0027744097,0.00096471515,0.01855941,0.014628186,0.007924,-0.0057707774,-0.0077645066,0.007888133,0.014950474,0.01289234,0.008728152,-5.6699613e-05,0.017035535
0.0007591723,0.0034102455,0.017920442,0.014084209,0.019007228,0.026904179,0.0110730175,0.014331764,0.009235255,0.016549572,0.010984281,0.009397095,0.016790656,0.043533564,0.0046646814,0.007806415,-0.010710087,0.012430579,0.0045229536,0.020332154,-0.003397687,0.0082636215,-0.0026771051,0.008140067,0.0044499,0.009550938,0.0031891174,0.00071339426,0.003710866,-0.024481503,0.02174872,0.024593137,0.013755541,0.013621033,0.009527208,-0.00020341834,0.015708597,0.005285823,0.009663489,0.0034551423,-0.012061674,0.013015713,0.012672562,0.0052013756,0.01029079,0.010840885,0.023894394,0.004043759,-0.01008695,-0.002825279,-0.0023229695,-0.0030896857,0.0065567214,0.022141092,0.039375782,0.0012946874,0.012213213,0.0034275656,0.010372474,0.0019101967,0.008361415,0.0069560613,-0.0003955336,0.0038458817,-0.012658382,0.012406441,0.02075821,0.0005148659,0.0022755575,0.033528913,0.0053413752,0.0022056017,0.018165812
-0.02086703,0.0011714681,-0.0027894324,-0.027263364,-0.0075284424,0.008699277,-0.018170564,-0.015701082,-0.04381864,-0.0169904,-0.010854203,-0.006733868,-0.013044729,-0.037590962,-0.036753125,-0.013967138,-0.0031069533,-0.009202488,-0.023065908,-0.03437594,-0.028694198,-0.0019767561,-0.0059528016,-0.008627972,-0.031730242,-0.003453004,-0.01233831,0.011801342,-0.015399565,-0.015376946,-0.0034435529,-0.0032845042,-0.021144917,-0.013897618,-0.034234118,-0.009863468,-0.016282586,-0.010367383,-0.007265413,-0.008972525,-0.03978858,-0.03806091,-0.009445762,-0.010042354,-0.024209945,-0.012001523,-0.024490764,-0.01655951,0.009845242,-0.011686247,-0.006878511,-0.03658042,-0.00026780122,-0.009026855,0.01192809,-0.024598204,-0.024235293,-0.0024290802,-0.007895522,-0.030984402,-0.009109654,0.0035791446,-0.014733116,-0.04727239,0.011237987,0.0015448551,-0.0072125993,-0.008970729,-0.022532871,-0.0065930057,-0.0109596,-0.034647312,0.0022063674
-0.02013377,-0.017348643,-0.016484352,-0.02453534,-0.012777062,-0.02480322,-0.019682135,-0.01686411,-0.022799237,-0.015184748,-0.015436862,-0.017268747,-0.023330318,-0.0071847034,-0.010494435,-0.019611467,-0.017577758,-0.017847335,-0.022222972,-0.0073490716,-0.028505225,-0.016209794,-0.015069022,-0.016835999,-0.016922431,-0.018817563,-0.021393621,-0.019983297,-0.016677078,-0.016682772,-0.022126988,-0.011701215,-0.010168135,-0.011112823,-0.02786238,-0.011196459,-0.014018778,-0.013463207,-0.020375777,-0.01603191,-0.020661877,-0.015087953,-0.014865074,-0.015026046,-0.015864274,-0.015802832,-0.008070606,-0.020933278,-0.009621102,-0.023665814,-0.026749846,-0.018942611,-0.02008581,-0.019917436,-0.02580449,-0.027000904,-0.014971138,-0.019395642,-0.015488904,-0.019152785,-0.028522698,-0.021741346,-0.019837158,-0.02974903,-0.029333359,-0.020875663,-0.013233888,-0.012576672,-0.019297186,-0.008282287,-0.023412978,-0.020502277,-0.0141458
