informal,posemo,affect,focuspast,death,friend,family,relativ,cogproc,social,leisure,health,filler,body,ingest,work,certain,assent,risk,affiliation,discrep,achiev,sad,motion,tentat,time,anger,swear,hear,anx,space,netspeak,female,drives,insight,power,percept,cause,sexual,nonflu,bio,feel,home,reward,male,negemo,see,money,focusfuture,relig,focuspresent,differ
-0.047736995,-0.082338236,-0.07230854,-0.11952381,-0.057392564,-0.05269255,-0.1069757,-0.08794443,-0.09944886,-0.10943534,-0.047537338,-0.052670166,0.048737697,-0.038774833,-0.0082125245,-0.044092864,-0.123524256,-0.07340988,-0.105730556,-0.07332545,-0.10930285,-0.08428498,-0.10540413,-0.11993085,-0.074157044,-0.092267044,-0.02086262,0.040861454,-0.15668821,-0.09042423,-0.06263755,-0.07889393,-0.13015865,-0.08205136,-0.12232985,-0.08277142,-0.112565055,-0.10013407,0.021944016,-0.09194377,-0.035955347,-0.09272714,-0.101705834,-0.074372955,-0.11145057,-0.061083294,-0.1461112,-0.07083025,-0.11630407,-0.025822608,-0.14360748,-0.057855684
-0.0862383,-0.0065140035,-0.012710503,-0.024754578,-0.015616982,-0.07068427,-0.12306642,-0.01725618,-0.018026397,-0.051799122,-0.00033440013,0.039663903,0.10046661,0.0070428792,0.03324773,0.04708635,-0.030146353,-0.0945908,0.026318023,-0.05486116,-0.120919704,0.044291887,-0.021259792,0.0056821974,-0.048488047,-0.031823855,-0.054402743,-0.16819842,-0.019819658,0.027650025,-0.020090658,-0.04802342,-0.10013678,0.0062812776,0.036889166,0.013858163,-0.0046576215,0.008303527,-0.058428563,-0.113852434,0.00876791,0.01702907,-0.07232939,0.034756757,-0.11259079,-0.02144734,-0.0016407917,0.056881856,-0.022713423,-0.037667826,-0.017451927,-0.035627373
0.030931879,0.13307337,0.07796045,0.05372619,0.03095875,0.05012562,0.03315021,0.060660444,0.06353565,0.028409313,0.07533249,0.04875392,0.07503936,0.063392974,0.08156596,0.10233866,0.05854488,0.12872453,0.038903695,0.05075129,0.05180993,0.094607964,0.047344845,0.065761164,0.095698856,0.09026023,-0.010731599,-0.030703457,0.056834772,0.039650742,0.040221028,0.06323481,0.057212085,0.06745052,0.074342944,0.06670018,0.05885371,0.038105205,-0.009308795,0.13200468,0.061215285,0.072443396,0.056194525,0.12319003,-0.0025430154,0.024495913,0.027124299,0.08857654,0.116593696,0.14156684,0.036620393,0.03180158
0.22368589,0.08264629,0.12362518,0.10678813,0.171245,0.08160944,0.21610525,0.10505092,0.07944463,0.15582883,0.1545707,0.0861682,0.10830939,0.045441173,0.11266928,0.064311914,0.10356637,0.12744221,0.059546772,0.12041601,0.15311277,0.062331777,0.1803581,0.09751624,0.087035075,0.11309859,0.21146579,0.2932473,0.12240827,0.10178737,0.09724212,0.24555555,0.21888122,0.09285543,0.048884574,0.10218171,0.11796509,0.06930962,0.17584117,0.21696746,0.096893154,0.06797512,0.14215606,0.06970045,0.19419518,0.16918765,0.1502539,0.04734031,0.10639859,0.1509751,0.085972704,0.06776795
-0.25773564,-0.33562478,-0.33009502,-0.23076215,-0.28207713,-0.29935998,-0.30986375,-0.25273696,-0.29069227,-0.31587768,-0.26538345,-0.29422587,-0.19198686,-0.36615607,-0.31087726,-0.29154783,-0.24911925,-0.28554896,-0.29241186,-0.31153476,-0.27620926,-0.23692808,-0.29256403,-0.25392273,-0.31531566,-0.20687208,-0.34856665,-0.34855843,-0.31484687,-0.3177356,-0.28385884,-0.20360394,-0.3612516,-0.2928663,-0.3037744,-0.29989922,-0.3166262,-0.33240828,-0.31545582,-0.18674359,-0.31613743,-0.3397114,-0.32183766,-0.26306385,-0.24614076,-0.32583547,-0.2750316,-0.27830365,-0.22721456,-0.28689846,-0.2856653,-0.19820885
-0.05385246,-0.17475763,-0.15305638,-0.23513307,-0.19586809,-0.21016392,-0.21824765,-0.18390256,-0.16497226,-0.17948619,-0.16256568,-0.13955204,-0.099267244,-0.16107692,-0.21760394,-0.2221392,-0.14815944,-0.13050178,-0.18762292,-0.21261592,-0.13710439,-0.22305927,-0.1810067,-0.2435811,-0.20744748,-0.1964419,-0.102916315,-0.033061054,-0.14658105,-0.19878928,-0.12875052,-0.04559694,-0.19864783,-0.19458304,-0.19237715,-0.18250795,-0.121441,-0.15359737,-0.073352575,-0.08776458,-0.15646052,-0.099676415,-0.27658036,-0.21171644,-0.12133599,-0.13229817,-0.1150563,-0.2726131,-0.20712236,-0.18207212,-0.1838817,-0.08296189
0.0074538505,0.055771794,0.0587685,0.076228894,-0.12534392,0.038148172,0.032101903,0.027439632,0.06402249,0.030654106,-0.010609831,0.055046897,0.021715563,0.08745242,0.058207,-0.026381686,0.066867724,0.017076354,0.068935595,0.034798227,0.13729788,0.038544968,0.09586808,0.02792893,0.04581437,0.007166642,0.013010545,-0.007465985,0.07238702,0.13204148,0.042945825,0.015987257,0.07423317,0.035566438,0.074502096,0.028539788,0.04589299,0.025460793,0.0015528195,0.04001439,0.053898014,0.029286627,0.0012611024,0.051522385,0.031635612,0.06213575,0.052311283,0.005686107,0.024207136,0.015930483,0.04288051,0.045268927
0.079207584,0.10186714,0.06984046,0.07080232,0.054669727,0.11208024,0.13362753,0.045778573,0.06674908,0.12600942,0.07024929,0.06892537,0.11804398,0.04450584,0.08492567,0.071434334,0.05155066,0.07684836,0.050158523,0.10982246,0.06367128,0.09183938,0.059879024,0.03094689,0.029096115,0.036643572,0.021833755,0.040129814,0.06733239,0.03801245,0.059720237,0.08291037,0.13481897,0.08315044,0.08107956,0.07820754,0.06662156,0.08273682,0.033325426,0.047857627,0.058242496,0.008215391,0.10560325,0.09338699,0.10089592,0.038700707,0.11433839,0.05222401,0.05496231,0.061096568,0.0864061,0.07811126
0.018551208,0.09459695,0.06798302,0.09118804,0.08856154,0.13843791,0.018000154,0.09964872,0.0943327,0.06898323,0.19614325,0.09332665,0.3178737,0.0825832,0.11204038,0.081966765,0.09356506,-0.014790782,0.12186269,0.12946,0.05325619,0.07069417,0.080342926,0.10862233,0.09147129,0.09968979,0.016287053,-0.07884266,0.11220961,0.08792457,0.0924214,0.08889845,0.023330754,0.08173482,0.09082798,0.05893064,0.08054895,0.07234863,0.014071825,-0.07794508,0.091124915,0.075442664,0.15648003,0.06862238,0.050921604,0.0379484,0.04896235,0.060817845,0.20469251,0.051470116,0.04570937,0.19041227
0.05612501,0.1023695,0.1330624,0.16389832,0.11746232,0.065459475,0.12586048,0.09995679,0.13874228,0.11102069,0.056084625,0.16439867,0.13299847,0.15104014,0.1209309,0.08250233,0.1064563,0.017206792,0.15605496,0.09079174,0.11885454,0.14096047,0.15862332,0.12533788,0.12781972,0.067136705,0.1613017,0.12563115,0.07037733,0.19489168,0.103186674,0.04517468,0.092277825,0.116345555,0.17073177,0.10926318,0.11528146,0.15061739,0.017450001,0.056054924,0.12788902,0.15001933,0.12148159,0.12268956,0.08202562,0.16403496,0.11953796,0.06161298,0.14768638,0.06885138,0.16461383,0.13234429
